E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8,E_A#9 / keV,N_A#9,E_A#10 / keV,N_A#10,E_A#11 / keV,N_A#11
485.5,18,485.5,269,485.5,325,485.5,415,485.5,432,485.5,434,485.5,406,485.5,349,485.5,362,485.5,332,485.5,354
488.3,26,488.3,328,488.3,317,488.3,399,488.3,373,488.3,414,488.3,350,488.3,332,488.3,310,488.3,307,488.3,352
491.1,32,491.1,388,491.1,274,491.1,381,491.1,388,491.1,382,491.1,338,491.1,307,491.1,313,491.1,325,491.1,311
494,38,494,502,494,327,494,395,494,412,494,367,494,356,494,358,494,327,494,280,494,307
496.8,38,496.8,542,496.8,262,496.8,450,496.8,383,496.8,399,496.8,351,496.8,339,496.8,324,496.8,299,496.8,328
499.7,24,499.7,555,499.7,317,499.7,412,499.7,398,499.7,383,499.7,331,499.7,299,499.7,338,499.7,291,499.7,301
502.5,30,502.5,502,502.5,255,502.5,369,502.5,400,502.5,342,502.5,322,502.5,301,502.5,316,502.5,285,502.5,277
505.3,35,505.3,543,505.3,252,505.3,373,505.3,348,505.3,363,505.3,346,505.3,314,505.3,286,505.3,295,505.3,276
508.2,32,508.2,567,508.2,242,508.2,381,508.2,396,508.2,391,508.2,320,508.2,278,508.2,296,508.2,269,508.2,263
511,26,511,574,511,274,511,391,511,388,511,396,511,322,511,285,511,274,511,270,511,275
513.8,32,513.8,554,513.8,246,513.8,382,513.8,361,513.8,340,513.8,301,513.8,254,513.8,270,513.8,257,513.8,242
516.7,26,516.7,525,516.7,245,516.7,376,516.7,362,516.7,322,516.7,292,516.7,278,516.7,258,516.7,239,516.7,239
519.5,26,519.5,440,519.5,216,519.5,327,519.5,360,519.5,327,519.5,269,519.5,277,519.5,265,519.5,248,519.5,246
522.3,24,522.3,396,522.3,204,522.3,330,522.3,334,522.3,316,522.3,275,522.3,267,522.3,213,522.3,228,522.3,227
525.2,28,525.2,368,525.2,189,525.2,344,525.2,368,525.2,315,525.2,259,525.2,227,525.2,224,525.2,230,525.2,215
528,29,528,298,528,213,528,325,528,318,528,312,528,262,528,249,528,206,528,215,528,193
530.9,32,530.9,229,530.9,188,530.9,330,530.9,282,530.9,308,530.9,257,530.9,204,530.9,218,530.9,204,530.9,215
533.7,21,533.7,197,533.7,183,533.7,294,533.7,296,533.7,318,533.7,277,533.7,225,533.7,213,533.7,180,533.7,183
536.5,32,536.5,133,536.5,175,536.5,306,536.5,297,536.5,312,536.5,261,536.5,217,536.5,200,536.5,200,536.5,179
539.4,28,539.4,118,539.4,163,539.4,305,539.4,334,539.4,270,539.4,233,539.4,205,539.4,190,539.4,180,539.4,153
542.2,35,542.2,93,542.2,147,542.2,275,542.2,312,542.2,277,542.2,224,542.2,200,542.2,178,542.2,174,542.2,169
545,25,545,65,545,148,545,276,545,295,545,249,545,201,545,158,545,185,545,165,545,165
547.9,20,547.9,64,547.9,132,547.9,294,547.9,281,547.9,232,547.9,208,547.9,173,547.9,171,547.9,156,547.9,151
550.7,18,550.7,30,550.7,138,550.7,298,550.7,286,550.7,275,550.7,204,550.7,170,550.7,164,550.7,131,550.7,132
553.5,25,553.5,39,553.5,114,553.5,277,553.5,287,553.5,250,553.5,203,553.5,189,553.5,142,553.5,144,553.5,137
556.4,12,556.4,25,556.4,108,556.4,285,556.4,275,556.4,257,556.4,223,556.4,162,556.4,149,556.4,160,556.4,120
559.2,26,559.2,21,559.2,138,559.2,298,559.2,268,559.2,245,559.2,222,559.2,155,559.2,142,559.2,130,559.2,143
562.1,18,562.1,29,562.1,115,562.1,272,562.1,265,562.1,225,562.1,185,562.1,185,562.1,140,562.1,135,562.1,121
564.9,24,564.9,16,564.9,108,564.9,262,564.9,243,564.9,250,564.9,195,564.9,154,564.9,139,564.9,115,564.9,108
567.7,19,567.7,19,567.7,119,567.7,298,567.7,259,567.7,247,567.7,186,567.7,150,567.7,143,567.7,109,567.7,117
570.6,23,570.6,18,570.6,140,570.6,283,570.6,228,570.6,225,570.6,208,570.6,151,570.6,143,570.6,134,570.6,126
573.4,31,573.4,20,573.4,123,573.4,260,573.4,276,573.4,255,573.4,201,573.4,155,573.4,146,573.4,130,573.4,107
576.2,37,576.2,17,576.2,113,576.2,280,576.2,273,576.2,216,576.2,205,576.2,169,576.2,138,576.2,138,576.2,122
579.1,18,579.1,14,579.1,122,579.1,277,579.1,247,579.1,242,579.1,177,579.1,171,579.1,120,579.1,117,579.1,106
581.9,24,581.9,20,581.9,107,581.9,246,581.9,234,581.9,212,581.9,191,581.9,159,581.9,125,581.9,119,581.9,104
584.7,26,584.7,16,584.7,113,584.7,291,584.7,250,584.7,239,584.7,190,584.7,148,584.7,111,584.7,100,584.7,109
587.6,35,587.6,18,587.6,101,587.6,278,587.6,258,587.6,197,587.6,185,587.6,144,587.6,125,587.6,125,587.6,105
590.4,16,590.4,18,590.4,115,590.4,235,590.4,232,590.4,209,590.4,171,590.4,144,590.4,116,590.4,119,590.4,101
593.3,37,593.3,23,593.3,110,593.3,232,593.3,231,593.3,224,593.3,194,593.3,162,593.3,130,593.3,107,593.3,86
596.1,21,596.1,19,596.1,88,596.1,238,596.1,228,596.1,233,596.1,178,596.1,139,596.1,109,596.1,106,596.1,113
598.9,19,598.9,14,598.9,111,598.9,264,598.9,244,598.9,217,598.9,187,598.9,148,598.9,139,598.9,115,598.9,103
601.8,18,601.8,16,601.8,113,601.8,269,601.8,255,601.8,211,601.8,174,601.8,156,601.8,126,601.8,122,601.8,110
604.6,26,604.6,16,604.6,121,604.6,282,604.6,242,604.6,262,604.6,188,604.6,156,604.6,140,604.6,124,604.6,149
607.4,33,607.4,23,607.4,169,607.4,276,607.4,249,607.4,219,607.4,196,607.4,180,607.4,151,607.4,134,607.4,132
610.3,28,610.3,10,610.3,177,610.3,290,610.3,253,610.3,233,610.3,228,610.3,231,610.3,199,610.3,152,610.3,146
613.1,24,613.1,18,613.1,244,613.1,287,613.1,337,613.1,310,613.1,220,613.1,232,613.1,221,613.1,191,613.1,170
615.9,29,615.9,21,615.9,291,615.9,340,615.9,371,615.9,354,615.9,309,615.9,243,615.9,248,615.9,234,615.9,230
618.8,26,618.8,20,618.8,387,618.8,422,618.8,391,618.8,363,618.8,375,618.8,338,618.8,294,618.8,333,618.8,281
621.6,29,621.6,18,621.6,448,621.6,450,621.6,465,621.6,459,621.6,453,621.6,411,621.6,357,621.6,358,621.6,325
624.5,30,624.5,14,624.5,667,624.5,508,624.5,536,624.5,532,624.5,545,624.5,513,624.5,486,624.5,483,624.5,434
627.3,28,627.3,19,627.3,860,627.3,610,627.3,633,627.3,658,627.3,669,627.3,693,627.3,597,627.3,615,627.3,542
630.1,30,630.1,23,630.1,998,630.1,673,630.1,757,630.1,794,630.1,866,630.1,852,630.1,750,630.1,783,630.1,653
633,24,633,29,633,1255,633,758,633,849,633,936,633,998,633,1060,633,948,633,953,633,905
635.8,35,635.8,27,635.8,1587,635.8,853,635.8,963,635.8,1119,635.8,1182,635.8,1242,635.8,1192,635.8,1191,635.8,1139
638.6,37,638.6,17,638.6,1825,638.6,1056,638.6,1240,638.6,1269,638.6,1476,638.6,1505,638.6,1511,638.6,1435,638.6,1406
641.5,33,641.5,27,641.5,2170,641.5,1194,641.5,1340,641.5,1579,641.5,1710,641.5,1750,641.5,1751,641.5,1713,641.5,1688
644.3,40,644.3,26,644.3,2691,644.3,1423,644.3,1519,644.3,1852,644.3,1981,644.3,2066,644.3,2149,644.3,2057,644.3,2060
647.1,37,647.1,29,647.1,2902,647.1,1615,647.1,1805,647.1,1979,647.1,2345,647.1,2474,647.1,2445,647.1,2407,647.1,2437
650,40,650,32,650,3220,650,1736,650,2066,650,2260,650,2562,650,2878,650,2841,650,2783,650,2650
652.8,31,652.8,27,652.8,3707,652.8,1860,652.8,2145,652.8,2498,652.8,2948,652.8,3064,652.8,3060,652.8,3181,652.8,3074
655.7,40,655.7,35,655.7,3968,655.7,1997,655.7,2369,655.7,2777,655.7,3159,655.7,3443,655.7,3495,655.7,3491,655.7,3494
658.5,40,658.5,29,658.5,4166,658.5,2044,658.5,2496,658.5,2814,658.5,3396,658.5,3672,658.5,3752,658.5,3737,658.5,3795
661.3,44,661.3,40,661.3,4377,661.3,2031,661.3,2469,661.3,3020,661.3,3548,661.3,3814,661.3,3933,661.3,3951,661.3,4038
664.2,38,664.2,42,664.2,4501,664.2,2095,664.2,2553,664.2,3005,664.2,3530,664.2,4025,664.2,4136,664.2,4155,664.2,4128
667,34,667,46,667,4360,667,2142,667,2531,667,3040,667,3667,667,3998,667,4261,667,4333,667,4433
669.8,45,669.8,24,669.8,4187,669.8,1986,669.8,2390,669.8,2803,669.8,3409,669.8,3913,669.8,3996,669.8,4202,669.8,4203
672.7,38,672.7,31,672.7,3970,672.7,1786,672.7,2205,672.7,2754,672.7,3284,672.7,3570,672.7,3870,672.7,3987,672.7,4099
675.5,44,675.5,34,675.5,3863,675.5,1759,675.5,2193,675.5,2725,675.5,3292,675.5,3710,675.5,4024,675.5,4114,675.5,4164
678.3,38,678.3,32,678.3,3745,678.3,1670,678.3,2094,678.3,2518,678.3,3279,678.3,3554,678.3,3799,678.3,3970,678.3,3962
681.2,35,681.2,23,681.2,3347,681.2,1538,681.2,1902,681.2,2386,681.2,2903,681.2,3287,681.2,3665,681.2,3664,681.2,3804
684,40,684,23,684,2885,684,1302,684,1685,684,2076,684,2643,684,2968,684,3165,684,3307,684,3317
686.9,34,686.9,24,686.9,2553,686.9,1162,686.9,1434,686.9,1906,686.9,2293,686.9,2603,686.9,2918,686.9,3003,686.9,2985
689.7,25,689.7,22,689.7,2189,689.7,992,689.7,1246,689.7,1614,689.7,2040,689.7,2318,689.7,2609,689.7,2603,689.7,2748
692.5,27,692.5,17,692.5,1794,692.5,812,692.5,997,692.5,1392,692.5,1645,692.5,1954,692.5,2154,692.5,2296,692.5,2355
695.4,27,695.4,19,695.4,1446,695.4,739,695.4,879,695.4,1144,695.4,1418,695.4,1632,695.4,1819,695.4,1931,695.4,1984
698.2,18,698.2,18,698.2,1203,698.2,519,698.2,674,698.2,880,698.2,1154,698.2,1326,698.2,1488,698.2,1502,698.2,1646
701,22,701,16,701,931,701,402,701,557,701,739,701,889,701,1007,701,1185,701,1297,701,1330
703.9,16,703.9,17,703.9,763,703.9,303,703.9,393,703.9,526,703.9,686,703.9,795,703.9,920,703.9,1008,703.9,1051
706.7,18,706.7,13,706.7,551,706.7,257,706.7,292,706.7,355,706.7,569,706.7,593,706.7,739,706.7,743,706.7,831
709.6,21,709.6,10,709.6,367,709.6,177,709.6,234,709.6,313,709.6,375,709.6,458,709.6,567,709.6,572,709.6,649
712.4,17,712.4,16,712.4,298,712.4,142,712.4,160,712.4,213,712.4,293,712.4,335,712.4,393,712.4,433,712.4,473
715.2,25,715.2,17,715.2,210,715.2,87,715.2,105,715.2,159,715.2,212,715.2,249,715.2,296,715.2,306,715.2,320
718.1,15,718.1,15,718.1,130,718.1,57,718.1,59,718.1,111,718.1,153,718.1,156,718.1,207,718.1,232,718.1,271
720.9,18,720.9,20,720.9,94,720.9,35,720.9,46,720.9,76,720.9,106,720.9,123,720.9,139,720.9,152,720.9,174
723.7,20,723.7,13,723.7,79,723.7,32,723.7,34,723.7,54,723.7,70,723.7,77,723.7,85,723.7,121,723.7,106
726.6,23,726.6,16,726.6,47,726.6,28,726.6,32,726.6,35,726.6,48,726.6,52,726.6,54,726.6,71,726.6,77
729.4,16,729.4,10,729.4,31,729.4,18,729.4,22,729.4,21,729.4,27,729.4,35,729.4,31,729.4,61,729.4,44
732.2,17,732.2,13,732.2,17,732.2,22,732.2,18,732.2,24,732.2,26,732.2,33,732.2,33,732.2,37,732.2,42
735.1,21,735.1,14,735.1,18,735.1,15,735.1,15,735.1,12,735.1,13,735.1,23,735.1,30,735.1,23,735.1,30
737.9,15,737.9,11,737.9,16,737.9,11,737.9,17,737.9,8,737.9,20,737.9,23,737.9,18,737.9,21,737.9,23
740.8,19,740.8,14,740.8,13,740.8,14,740.8,13,740.8,7,740.8,8,740.8,12,740.8,15,740.8,15,740.8,17
743.6,25,743.6,13,743.6,9,743.6,9,743.6,9,743.6,9,743.6,7,743.6,15,743.6,9,743.6,10,743.6,21
746.4,21,746.4,19,746.4,18,746.4,6,746.4,8,746.4,5,746.4,8,746.4,7,746.4,12,746.4,7,746.4,18
749.3,16,749.3,15,749.3,15,749.3,3,749.3,6,749.3,6,749.3,5,749.3,9,749.3,8,749.3,11,749.3,8
752.1,21,752.1,11,752.1,9,752.1,9,752.1,8,752.1,6,752.1,7,752.1,8,752.1,10,752.1,14,752.1,6
754.9,19,754.9,16,754.9,8,754.9,4,754.9,5,754.9,9,754.9,13,754.9,7,754.9,11,754.9,10,754.9,10
757.8,21,757.8,11,757.8,6,757.8,8,757.8,10,757.8,8,757.8,4,757.8,7,757.8,9,757.8,11,757.8,9
760.6,16,760.6,8,760.6,9,760.6,9,760.6,10,760.6,5,760.6,9,760.6,4,760.6,8,760.6,13,760.6,11
763.4,32,763.4,12,763.4,8,763.4,8,763.4,5,763.4,8,763.4,7,763.4,9,763.4,6,763.4,8,763.4,12
766.3,17,766.3,17,766.3,7,766.3,7,766.3,6,766.3,6,766.3,12,766.3,5,766.3,10,766.3,3,766.3,16
769.1,15,769.1,14,769.1,9,769.1,10,769.1,5,769.1,9,769.1,7,769.1,13,769.1,6,769.1,6,769.1,10
772,17,772,12,772,10,772,6,772,9,772,6,772,2,772,7,772,8,772,3,772,5
774.8,22,774.8,12,774.8,10,774.8,6,774.8,9,774.8,8,774.8,8,774.8,6,774.8,13,774.8,13,774.8,10
777.6,18,777.6,19,777.6,11,777.6,6,777.6,5,777.6,7,777.6,9,777.6,6,777.6,6,777.6,11,777.6,8
780.5,22,780.5,22,780.5,8,780.5,4,780.5,12,780.5,5,780.5,3,780.5,2,780.5,2,780.5,8,780.5,12
783.3,16,783.3,18,783.3,16,783.3,8,783.3,7,783.3,6,783.3,7,783.3,13,783.3,7,783.3,4,783.3,8
786.1,25,786.1,11,786.1,12,786.1,7,786.1,4,786.1,6,786.1,6,786.1,8,786.1,8,786.1,7,786.1,7
789,19,789,10,789,9,789,13,789,7,789,14,789,11,789,5,789,6,789,10,789,7
791.8,21,791.8,14,791.8,10,791.8,4,791.8,7,791.8,5,791.8,7,791.8,6,791.8,9,791.8,5,791.8,6
794.6,22,794.6,13,794.6,2,794.6,8,794.6,5,794.6,6,794.6,6,794.6,8,794.6,6,794.6,8,794.6,9
797.5,18,797.5,17,797.5,7,797.5,1,797.5,8,797.5,5,797.5,9,797.5,8,797.5,3,797.5,15,797.5,11
800.3,17,800.3,18,800.3,8,800.3,4,800.3,9,800.3,7,800.3,11,800.3,5,800.3,5,800.3,4,800.3,9
803.2,20,803.2,13,803.2,9,803.2,4,803.2,6,803.2,6,803.2,6,803.2,3,803.2,11,803.2,6,803.2,10
806,15,806,2,806,8,806,7,806,5,806,3,806,9,806,10,806,7,806,13,806,8
808.8,27,808.8,11,808.8,6,808.8,10,808.8,12,808.8,10,808.8,11,808.8,5,808.8,7,808.8,9,808.8,6
811.7,15,811.7,13,811.7,6,811.7,8,811.7,4,811.7,7,811.7,5,811.7,8,811.7,5,811.7,7,811.7,3
814.5,19,814.5,16,814.5,10,814.5,5,814.5,5,814.5,7,814.5,2,814.5,10,814.5,10,814.5,5,814.5,11
817.3,17,817.3,11,817.3,11,817.3,8,817.3,4,817.3,6,817.3,10,817.3,4,817.3,6,817.3,7,817.3,8
820.2,26,820.2,14,820.2,7,820.2,6,820.2,8,820.2,7,820.2,8,820.2,9,820.2,10,820.2,10,820.2,7
823,24,823,17,823,10,823,6,823,5,823,4,823,3,823,4,823,5,823,6,823,4
825.8,21,825.8,20,825.8,6,825.8,8,825.8,3,825.8,7,825.8,4,825.8,4,825.8,8,825.8,4,825.8,3
828.7,27,828.7,14,828.7,12,828.7,2,828.7,4,828.7,11,828.7,4,828.7,6,828.7,3,828.7,8,828.7,8
831.5,27,831.5,18,831.5,2,831.5,11,831.5,2,831.5,6,831.5,2,831.5,6,831.5,6,831.5,6,831.5,10
834.4,15,834.4,9,834.4,5,834.4,6,834.4,8,834.4,8,834.4,12,834.4,10,834.4,2,834.4,7,834.4,3
837.2,22,837.2,19,837.2,9,837.2,3,837.2,5,837.2,4,837.2,6,837.2,12,837.2,10,837.2,6,837.2,8
840,30,840,16,840,8,840,8,840,14,840,5,840,8,840,10,840,7,840,7,840,7
842.9,17,842.9,13,842.9,7,842.9,4,842.9,7,842.9,5,842.9,7,842.9,3,842.9,7,842.9,10,842.9,11
845.7,20,845.7,17,845.7,6,845.7,5,845.7,4,845.7,4,845.7,8,845.7,10,845.7,10,845.7,11,845.7,9
848.5,14,848.5,11,848.5,11,848.5,3,848.5,11,848.5,8,848.5,12,848.5,4,848.5,4,848.5,6,848.5,6
851.4,21,851.4,14,851.4,6,851.4,6,851.4,6,851.4,8,851.4,6,851.4,6,851.4,7,851.4,15,851.4,11
854.2,18,854.2,13,854.2,8,854.2,7,854.2,5,854.2,5,854.2,9,854.2,9,854.2,6,854.2,5,854.2,4
857,22,857,10,857,8,857,9,857,7,857,8,857,3,857,9,857,10,857,10,857,7
859.9,23,859.9,21,859.9,5,859.9,4,859.9,5,859.9,7,859.9,5,859.9,7,859.9,4,859.9,9,859.9,11
862.7,29,862.7,12,862.7,6,862.7,4,862.7,10,862.7,6,862.7,6,862.7,9,862.7,7,862.7,6,862.7,6
865.6,26,865.6,14,865.6,10,865.6,4,865.6,7,865.6,8,865.6,8,865.6,7,865.6,7,865.6,11,865.6,11
868.4,23,868.4,12,868.4,9,868.4,8,868.4,4,868.4,6,868.4,9,868.4,11,868.4,8,868.4,3,868.4,7
871.2,20,871.2,12,871.2,5,871.2,3,871.2,4,871.2,9,871.2,12,871.2,5,871.2,6,871.2,7,871.2,9
874.1,21,874.1,10,874.1,9,874.1,7,874.1,6,874.1,8,874.1,3,874.1,4,874.1,6,874.1,9,874.1,9
876.9,17,876.9,21,876.9,9,876.9,7,876.9,7,876.9,9,876.9,4,876.9,5,876.9,8,876.9,3,876.9,5
879.7,18,879.7,12,879.7,10,879.7,7,879.7,4,879.7,3,879.7,8,879.7,5,879.7,8,879.7,2,879.7,10
882.6,26,882.6,12,882.6,4,882.6,4,882.6,6,882.6,6,882.6,4,882.6,6,882.6,8,882.6,12,882.6,13
885.4,26,885.4,18,885.4,7,885.4,4,885.4,8,885.4,7,885.4,9,885.4,7,885.4,3,885.4,12,885.4,6
888.2,24,888.2,18,888.2,12,888.2,4,888.2,9,888.2,12,888.2,6,888.2,10,888.2,4,888.2,6,888.2,10
891.1,17,891.1,15,891.1,9,891.1,5,891.1,5,891.1,8,891.1,6,891.1,5,891.1,11,891.1,6,891.1,7
893.9,24,893.9,14,893.9,4,893.9,7,893.9,11,893.9,7,893.9,9,893.9,9,893.9,8,893.9,4,893.9,7
896.8,20,896.8,23,896.8,6,896.8,4,896.8,7,896.8,9,896.8,3,896.8,5,896.8,4,896.8,9,896.8,9
899.6,26,899.6,14,899.6,13,899.6,3,899.6,5,899.6,8,899.6,7,899.6,13,899.6,4,899.6,5,899.6,5
902.4,18,902.4,13,902.4,8,902.4,6,902.4,8,902.4,5,902.4,7,902.4,10,902.4,4,902.4,10,902.4,8
905.3,34,905.3,22,905.3,9,905.3,3,905.3,10,905.3,8,905.3,10,905.3,7,905.3,4,905.3,11,905.3,9
908.1,26,908.1,9,908.1,5,908.1,8,908.1,8,908.1,6,908.1,7,908.1,6,908.1,9,908.1,2,908.1,3
910.9,24,910.9,17,910.9,6,910.9,4,910.9,11,910.9,8,910.9,5,910.9,5,910.9,4,910.9,5,910.9,15
913.8,17,913.8,9,913.8,10,913.8,6,913.8,6,913.8,2,913.8,6,913.8,4,913.8,8,913.8,4,913.8,6
916.6,25,916.6,13,916.6,13,916.6,8,916.6,6,916.6,12,916.6,5,916.6,13,916.6,11,916.6,8,916.6,6
919.4,19,919.4,14,919.4,11,919.4,14,919.4,8,919.4,5,919.4,8,919.4,6,919.4,3,919.4,11,919.4,13
922.3,24,922.3,18,922.3,8,922.3,13,922.3,8,922.3,8,922.3,4,922.3,7,922.3,5,922.3,9,922.3,5
925.1,19,925.1,14,925.1,10,925.1,3,925.1,9,925.1,8,925.1,6,925.1,6,925.1,4,925.1,9,925.1,8
928,20,928,11,928,5,928,1,928,14,928,7,928,6,928,7,928,6,928,7,928,5
930.8,20,930.8,18,930.8,10,930.8,7,930.8,10,930.8,7,930.8,7,930.8,5,930.8,8,930.8,10,930.8,3
933.6,20,933.6,16,933.6,6,933.6,7,933.6,8,933.6,6,933.6,1,933.6,6,933.6,15,933.6,9,933.6,6
936.5,16,936.5,20,936.5,8,936.5,10,936.5,7,936.5,7,936.5,5,936.5,6,936.5,5,936.5,11,936.5,6
939.3,22,939.3,16,939.3,10,939.3,8,939.3,3,939.3,10,939.3,6,939.3,9,939.3,11,939.3,8,939.3,9
942.1,20,942.1,19,942.1,8,942.1,6,942.1,5,942.1,5,942.1,3,942.1,3,942.1,10,942.1,10,942.1,5
945,16,945,18,945,10,945,3,945,5,945,3,945,7,945,7,945,9,945,10,945,7
947.8,24,947.8,13,947.8,4,947.8,6,947.8,6,947.8,9,947.8,4,947.8,9,947.8,12,947.8,7,947.8,11
950.6,13,950.6,23,950.6,7,950.6,5,950.6,3,950.6,4,950.6,10,950.6,8,950.6,9,950.6,2,950.6,5
953.5,17,953.5,17,953.5,7,953.5,7,953.5,5,953.5,8,953.5,4,953.5,4,953.5,7,953.5,7,953.5,2
956.3,19,956.3,24,956.3,9,956.3,6,956.3,6,956.3,3,956.3,6,956.3,3,956.3,9,956.3,4,956.3,10
959.2,17,959.2,17,959.2,2,959.2,8,959.2,14,959.2,6,959.2,6,959.2,9,959.2,6,959.2,4,959.2,3
962,19,962,14,962,5,962,4,962,9,962,12,962,7,962,6,962,6,962,9,962,8
964.8,13,964.8,20,964.8,16,964.8,6,964.8,2,964.8,5,964.8,8,964.8,5,964.8,10,964.8,6,964.8,7
967.7,22,967.7,11,967.7,6,967.7,6,967.7,5,967.7,6,967.7,6,967.7,7,967.7,6,967.7,9,967.7,10
970.5,21,970.5,12,970.5,4,970.5,6,970.5,7,970.5,4,970.5,3,970.5,10,970.5,3,970.5,4,970.5,10
973.3,8,973.3,25,973.3,8,973.3,7,973.3,8,973.3,7,973.3,7,973.3,2,973.3,4,973.3,6,973.3,7
976.2,10,976.2,17,976.2,4,976.2,6,976.2,5,976.2,4,976.2,1,976.2,3,976.2,11,976.2,6,976.2,7
979,16,979,22,979,4,979,5,979,9,979,6,979,9,979,6,979,4,979,5,979,9
981.8,20,981.8,21,981.8,7,981.8,7,981.8,6,981.8,4,981.8,3,981.8,8,981.8,2,981.8,3,981.8,6
984.7,9,984.7,12,984.7,4,984.7,12,984.7,7,984.7,6,984.7,8,984.7,4,984.7,4,984.7,5,984.7,7
987.5,17,987.5,11,987.5,11,987.5,2,987.5,7,987.5,10,987.5,6,987.5,7,987.5,4,987.5,9,987.5,6
990.4,14,990.4,16,990.4,13,990.4,9,990.4,6,990.4,9,990.4,4,990.4,2,990.4,9,990.4,8,990.4,8
993.2,17,993.2,26,993.2,9,993.2,5,993.2,7,993.2,8,993.2,7,993.2,6,993.2,8,993.2,4,993.2,4
996,19,996,18,996,3,996,1,996,7,996,7,996,5,996,8,996,13,996,5,996,6
998.9,15,998.9,20,998.9,5,998.9,1,998.9,5,998.9,9,998.9,12,998.9,5,998.9,9,998.9,2,998.9,5
1001.7,7,1001.7,25,1001.7,4,1001.7,6,1001.7,4,1001.7,4,1001.7,6,1001.7,8,1001.7,9,1001.7,11,1001.7,6
1004.5,10,1004.5,15,1004.5,12,1004.5,8,1004.5,1,1004.5,7,1004.5,8,1004.5,4,1004.5,6,1004.5,8,1004.5,9
1007.4,16,1007.4,22,1007.4,7,1007.4,4,1007.4,5,1007.4,2,1007.4,5,1007.4,17,1007.4,5,1007.4,6,1007.4,5
1010.2,20,1010.2,15,1010.2,7,1010.2,7,1010.2,8,1010.2,3,1010.2,8,1010.2,5,1010.2,8,1010.2,8,1010.2,4
1013,18,1013,16,1013,5,1013,5,1013,6,1013,4,1013,5,1013,3,1013,4,1013,4,1013,7
1015.9,20,1015.9,11,1015.9,4,1015.9,6,1015.9,4,1015.9,4,1015.9,5,1015.9,6,1015.9,6,1015.9,3,1015.9,7
1018.7,12,1018.7,22,1018.7,5,1018.7,2,1018.7,9,1018.7,7,1018.7,5,1018.7,6,1018.7,5,1018.7,5,1018.7,8
1021.6,12,1021.6,23,1021.6,6,1021.6,7,1021.6,4,1021.6,5,1021.6,4,1021.6,7,1021.6,4,1021.6,3,1021.6,4
1024.4,14,1024.4,13,1024.4,8,1024.4,6,1024.4,7,1024.4,2,1024.4,5,1024.4,7,1024.4,4,1024.4,11,1024.4,8
1027.2,12,1027.2,13,1027.2,3,1027.2,4,1027.2,5,1027.2,5,1027.2,7,1027.2,3,1027.2,7,1027.2,3,1027.2,7
1030.1,13,1030.1,10,1030.1,2,1030.1,4,1030.1,3,1030.1,3,1030.1,11,1030.1,5,1030.1,5,1030.1,5,1030.1,9
1032.9,12,1032.9,16,1032.9,5,1032.9,5,1032.9,3,1032.9,0,1032.9,6,1032.9,8,1032.9,0,1032.9,4,1032.9,2
1035.7,13,1035.7,14,1035.7,1,1035.7,3,1035.7,4,1035.7,9,1035.7,6,1035.7,6,1035.7,5,1035.7,7,1035.7,7
1038.6,13,1038.6,19,1038.6,4,1038.6,3,1038.6,6,1038.6,2,1038.6,4,1038.6,6,1038.6,5,1038.6,6,1038.6,5
1041.4,14,1041.4,9,1041.4,5,1041.4,6,1041.4,5,1041.4,10,1041.4,3,1041.4,7,1041.4,3,1041.4,7,1041.4,2
1044.2,19,1044.2,12,1044.2,4,1044.2,3,1044.2,4,1044.2,7,1044.2,2,1044.2,4,1044.2,4,1044.2,6,1044.2,4
1047.1,16,1047.1,11,1047.1,3,1047.1,5,1047.1,4,1047.1,4,1047.1,5,1047.1,8,1047.1,3,1047.1,5,1047.1,3
1049.9,10,1049.9,9,1049.9,2,1049.9,4,1049.9,4,1049.9,7,1049.9,4,1049.9,3,1049.9,9,1049.9,4,1049.9,6
1052.8,12,1052.8,6,1052.8,3,1052.8,3,1052.8,5,1052.8,6,1052.8,3,1052.8,2,1052.8,5,1052.8,4,1052.8,6
1055.6,12,1055.6,12,1055.6,3,1055.6,2,1055.6,8,1055.6,2,1055.6,4,1055.6,4,1055.6,1,1055.6,7,1055.6,8
1058.4,8,1058.4,6,1058.4,5,1058.4,4,1058.4,3,1058.4,3,1058.4,4,1058.4,5,1058.4,6,1058.4,6,1058.4,2
1061.3,13,1061.3,6,1061.3,4,1061.3,3,1061.3,4,1061.3,2,1061.3,6,1061.3,3,1061.3,3,1061.3,9,1061.3,7
1064.1,10,1064.1,8,1064.1,7,1064.1,3,1064.1,5,1064.1,5,1064.1,2,1064.1,3,1064.1,2,1064.1,6,1064.1,4
1066.9,19,1066.9,7,1066.9,4,1066.9,4,1066.9,4,1066.9,2,1066.9,5,1066.9,3,1066.9,1,1066.9,4,1066.9,1
1069.8,13,1069.8,3,1069.8,5,1069.8,2,1069.8,4,1069.8,2,1069.8,4,1069.8,3,1069.8,3,1069.8,4,1069.8,4
1072.6,14,1072.6,9,1072.6,3,1072.6,9,1072.6,2,1072.6,7,1072.6,1,1072.6,6,1072.6,2,1072.6,7,1072.6,1
